structure,value
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,-1.107
BrC1=C(Br)C(=O)C(=C(C1=O)Br)Br,-3.842
c1ccc2c(c1)c1cccc3c1c1c2cccc1cc3,-7.8
O=C(N1CCCCC1)/C=C/C=C/c1ccc2c(c1)OCO2,-3.46
Clc1ccc(cc1)c1nc2c(o1)ccc(c2)C(c1n[nH]nn1)C,-8.144
CC(=CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)C,-5.224
CC(N(C(C)C)CCN1C(=O)CCCc2c1cccc2)C,-4.179
ClCc1ccccc1,-2.39
C1CCC(CC1)(N1CCCCC1)c1ccccc1,-3.933
O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,-4.922
CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],-2.596
CC(c1ccccc1)CCC(=O)O,-2.283
O=C1NC(=O)C(=O)C(=O)N1,-1.25
ClCCN(c1cc(C)c(c2c1cccc2)OC)CCCl,-6.144
Nc1cnccc1N1CCN2C(C1)CCc1c2cccc1,-3.495
ClC(C(Cl)(Cl)Cl)(Cl)Cl,-3.67
CCC(c1ccc(cc1)O)C,-2.194
Clc1ccc2c(c1)[nH]c(=O)n2C1CCN(CC1)CCCn1c(=O)[nH]c2c1cccc2,-5.635
CCC1Oc2c(C1)cc(cc2)CC(=O)O,-2.747
O=C1CNC(c2c(N1)ccc(c2)Cl)c1ccccc1,-3.51
CCN1C(=O)c2ccccc2Oc2c1cccc2,-3.68
C#CC(c1ccccc1)(O)C,-1.193
C1SCCS1,-1.259
CN(c1nc(nc(n1)N(C)C)N(C)C)C,-3.36
COC(=O)c1c(C)ccc(c1OCC(CN1CCOCC1)O)C(C)C,-2.914
CCOP(=S)(Oc1ccc(cc1)[S@@](=O)C)OCC,-2.3
[O-][N+](=O)c1no[n+](c1C)[O-],-1.316
Oc1ccc(c(c1)Cl)Cl,-1.25
COc1ccc2c(c1)C(O)(CCCN(C)C)c1c(S2)cccc1,-5.091
C=CC(=C)C,-2.03
CN1CC[C@@]23[C@@H]4[C@H]1Cc1c3c(O[C@H]2CCC4)c(cc1)O,-2.28
CN(c1ccc(cc1)C(c1ccc(cc1)N(C)C)(c1ccccc1)O)C,-3.063
COc1cccc(c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)OC,-3.015
ClC(C(c1ccc(cc1)N)c1ccc(cc1)N)(Cl)Cl,-4.637
Cc1ccc2c(c1)sc(n2)N,-2.662
COc1c2c(=O)cc(oc2c(c2c1cco2)OC)C,-2.4
CCOP(=O)(N(C)C)OP(=O)(N(C)C)OCC,-1.064
O=C(c1ccccc1)Oc1ccccc1,-2.85
COC(=O)C1CCc2c1ccc(c2)C1CCCCC1,-5.996
[O-][N+](=O)c1cn(c(n1)C)CC(=O)OCC,-2.002
O[C@H](C(=O)c1ccccc1)c1ccccc1,-2.85
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,-3.81
CCCC(C(C(COC(=O)N)CC)OC(=O)N)C,-3.134
O=C(N(c1ccccc1)C)COc1nc2c(s1)cccc2,-4.87
CCC(C(=O)OCC(Br)(Br)Br)CC,-5.717
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,-5.64
Cc1cccc2c1Cc1c2cccc1,-5.22
CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C,-3.52
CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F,-3.376
CCC(Cc1ccccc1)(O)C,-2.391
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,-2.82
CCc1sc2c(c1)C(=NCC(=O)N2C)c1ccccc1Cl,-4.241
COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)OC)NC(=O)c1ccccc1,-5.651
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NN4CCNCC4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C/C=C/[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,-9.067
CNC1(C)CC2CC1CC2,-1.294
OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,-1.42
O=C1Cc2c(N1)cccc2,-1.164
CCC(c1ccccc1Cl)OC(=O)N,-3.11
CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,-5.019
O=C1CCC(=O)N1c1ccc(cc1)S(=O)(=O)N,-1.285
C=CCOc1ccc(cc1Cl)CC(=O)O,-3.13
CCN(CCCc1ccccc1)CCCc1ccccc1,-5.026
Oc1ccc2c(c1)oc(=O)cc2C,-1.529
Brc1ccc(nc1)OCCCCNCCSS(=O)(=O)O,-2.176
N1CCN(CC1)c1ccc2c(n1)cccc2,-1.491
CCCN1CCc2c(C1)cccc2NC(=O)c1cc(OC)c(c(c1)OC)OC,-4.219
OCC(COc1cccc(c1)C)(CO)CO,-2.122
CCCC(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,-5.07
CCCC(=O)c1ccccc1OCC(CO)O,-2.237
C=CCn1c(=O)oc2c1cc(Cl)cc2,-3.448
COc1ccccc1C1SCCCS1,-4.176
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,-3.226
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,-5.67
CN1CCC2=C(C1CCc1ccccc1)CCCC2,-4.66
CCOC(=O)N(C1CC1)Cc1ccccc1,-3.67
O=C1CNC(=S)N1c1ccccc1,-3.242
O=C1N(c2cc(Cl)cc(c2)Cl)C(=O)[C@@]2([C@@]1(C)C2)C,-4.8
CCCCC(COC(=O)N)(COC(=O)N)CC,-2.675
[O-][N+](=O)c1cc(C)c(c(c1)[N+](=O)[O-])O,-1.46
Cc1nc2c([nH]1)cccc2,-1.96
S=C1NC(=S)NC1(c1ccccc1)c1ccccc1,-2.711
CC(NC(=O)c1ccccc1O)C,-1.986
CCC(Nc1c(C)n(C)c(=O)n(c1=O)c1ccccc1)C,-2.572
CC1(C)CCCC(N1)(C)C,-1.06
COc1cccc(c1)Cl,-2.78
OCC(COc1ccc(cc1C)N)O,-1.057
OC(=O)c1c(C)cccc1Cl,-2.419
CCn1cc(C(=O)O)c(=O)c2c1cc1OCOc1c2,-4.912
CCCCCCCCCC(=O)OC,-4.63
CC(C(COC(=O)N)(COC(=O)N)C)C,-1.57
O=C(c1ccccc1)OCc1ccccc1,-4.14
OCCNc1nc(c(o1)c1ccccc1)c1ccccc1,-3.82
COc1cc(Cc2cnc(nc2N)N)cc(c1CO)OC,-1.676
OC(=O)Cc1ccc(cc1)Br,-2.347
CC[C@@H]1CCCCN1,-1.5
N1CCN(CC1)C(c1ccccc1)c1ccccc1,-2.385
CC(c1cccc(c(=O)c1)O)C,-2.136
CCC(c1cccc2c1cccc2)(C(=O)N)CCN(C)C,-3.65
OCCN1CCN(CC1)CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-],-1.808
CC(CCOC(=O)C)C,-1.92
O=C1C=C[C@]2(C(=C1)[C@@H](F)C[C@@H]1[C@]2(F)[C@@H](O)C[C@]2([C@H]1C[C@H]([C@]2(O)C(=O)COC(=O)C(C)(C)C)C)C)C,-6.101
C=C[C@H]([C@@H](c1ccc(cc1)O)C=C)c1ccc(cc1)O,-4.95
COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCc1ccc(c(c1)OC)OC,-6.038
Oc1ccc(cc1C)C(C)(C)C,-3.21
Nc1ccc(c(n1)N)/N=N/c1ccccc1,-2.74
N/C(=N\CCCc1c[nH]c2c1cccc2)/CSS(=O)(=O)O,-3.14
CCC(Cl)(C)C,-2.51
CCCCCCCCCC(=O)O,-3.44
CNC[C@@H](c1ccc(c(c1)O)O)O,-3.008
CCCCN1CC2CCC(C1)N2C(=O)CC,-2.363
OCC(c1ccc(cc1)OC)C(=O)OC1CC2CCC(C1)N2C,-2.219
CCCCCCCC(=O)OC,-3.39
CN1OCc2c(C1)ccc(c2)Cl,-2.735
CCCCC(COC(=O)N)(COC(=O)N)C,-2.154
CN(CCOc1cc(C)c(cc1C(C)C)OC(=O)C)C,-2.937
COP(=S)(Oc1cc(Cl)c(cc1Cl)Br)OC,-6.09
CC(C(c1ccccc1)(C(=O)N)CCN(C)C)C,-2.739
NNC(c1ccccc1)C,-1.155
CCC(=O)C(c1ccccc1)(c1ccccc1)C(CN1CCCC1)C,-4.939
O=C1C[C@]2([C@@H]([C@H]1C)C2)C(C)C,-2.572
O[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)[C@@H](Cc1ccccc1)N,-2.375
Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,-2.7
N/C(=N\c1ccccc1)/N=C(N)N,-1.433
CCOC(=O)c1ccco1,-1.522
CCN1CCCN(C1=O)CC,-1.332
Clc1cccc(c1)/N=N/N(C)C,-3.129
OCC(COc1ccccc1Cl)(CO)CO,-2.351
CCOC(=O)/C(=N\Nc1cccc(c1)Cl)/C#N,-4.401
ClC(=O)CN1C(=O)c2c(C1=O)cccc2,-1.007
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1N(C)CCc2c1c(OC)c1c(c2)OCO1,-3.14
C/C=C\C(=O)O[C@@H]1C[C@@H]2[C@]3([C@@]1(C)[C@@]1(C)CC(=O)C(=C[C@H]1O2)C)CO3,-2.92
CC(=O)O[C@@]1(CC[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2C[C@H](C2=CC(=O)C(=C[C@]12C)Br)F)F)C(=O)COC(=O)C,-5.506
O=C1N=C(OC1c1ccccc1)N,-2.501
CCCCN1CCC[C@@H](C1)OC(=O)Nc1c(C)cccc1Cl,-4.754
O[C@H]1CC[C@]2([C@H](C1)[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)O)C)C)C,-3.82
CCCCCC(NCCSS(=O)(=O)O)CC,-1.753
O=C(c1ccccc1O)OCCCc1ccccc1,-5.011
CN1CCC2=C(C1CCc1ccccc1[N+](=O)[O-])CCCC2,-5.222
CC/C(=C(/c1ccc(cc1)O)\CC)/c1ccc(cc1)O,-4.07
FC1=C(F)C(C1(F)F)(F)F,-1.868
Nc1c2cc(ccc2nc2c1cccc2)c1ccccc1,-5.84
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(C)O)C)C,-3.99
C=CCn1c(C)c(N(C)C)c(=O)n(c1=O)c1ccccc1,-2.511
CN(CCOC(c1ccc(cc1)Br)(c1ccccc1)C)C,-5.603
CCCC/C=C\C,-3.82
CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,-3.513
OC(=O)[C@@H](Cc1c[nH]c2c1cccc2)N,-1.23
CN(C(c1ccc(cc1)Oc1ccccc1)C)C,-3.557
N#Cc1cccc(c1)C#N,-1.085
C=CCOCC(Cn1ccnc1[N+](=O)[O-])O,-1.59
C/C(=C\C(=O)O)/C1CCCCC1,-3.266
OC(=O)[C@H](c1cccc(c1)C(=O)c1ccccc1)C,-3.7
OCc1cc(ccc1O)C(CNC(C)(C)C)O,-1.22
OC(=O)/C=C/c1ccc(cc1)Cl,-2.457
NC(=O)OCC1(CCCC1)COC(=O)N,-1.521
Cc1cccc(c1)Oc1cccc(c1)C,-4.85
CCC(C(/C=C/C=C(/CCC=C(C)C)\C)O)(O)C,-5.275
O=C(c1cccnc1)OC(Cn1cnc2c1c(=O)n(C)c(=O)n2C)COC(=O)c1cccnc1,-4.139
COc1c(OC)cc2c(c1OC)c1ccc(c(=O)cc1[C@H](CC2)N)OC,-1.737
CCCCCCc1ccccc1,-5.21
O=C(C(Oc1ccccc1)(C)C)OCCN1CCOCC1,-1.865
O=C(c1ccc(cc1)[N+](=O)[O-])/C=N/N1CCOCC1,-1.664
COP(=S)(OC)OC,-1.334
C=CCC(C(=O)NC(=O)N)C(C)C,-2.747
CCCCCCC,-4.53
COc1ccc2c(c1O)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)C,-3.049
Cc1cccnc1NC(=O)c1ccccc1N,-2.616
ClC(C(F)(F)F)Br,-1.686
CC(Cl)C,-1.41
COc1cc(ccc1OC)Cc1cnc(nc1N)N,-1.927
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,-4.217
CCCN(CCCl)CCCl,-1.681
CCC(=O)c1ccc(cc1)OCC(CC1CN=CC=C1c1ccccc1)O,-4.085
ClC([C@@H](c1ccccc1Cl)c1ccc(cc1)Cl)Cl,-6.51
CCN(CCNC(=O)c1ccc(cc1)N)CC,-1.669
CCCC(C(=O)N)(C)C,-1.154
C=CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2,-2.651
O=C1NS(=O)(=O)Cc2c1cccc2,-1.25
Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC1CC1,-4.448
O=C(COc1c(ccc(c1C(=O)OC(C)C)C)C(C)C)OCCN1CCCCC1,-5.777
Cc1n(C)c(=O)n(c(=O)c1I)c1ccccc1,-2.641
FC(c1ccc(cc1)N)(F)F,-2.042
N#CC(c1ccccc1)(c1ccccc1)CCN1CCC(CC1)(C(=O)O)c1ccccc1,-6.332
CCCCCCC(COC(=O)N)COC(=O)N,-2.708
COc1ccc2c(c1)CCCC(=O)N2CCN(C(C)C)C(C)C,-4.466
CCN(CC(=O)Nc1c(C)cc(cc1C)C)CC,-3.07
COc1cc(cc(c1OC)OC)C(=O)N1CCCC1,-2.083
Clc1cccc(c1)Cl,-3.04
CCN1C(=O)NC(C1=O)c1ccccc1,-1.587
CN(CCOCCOC(=O)C1(CCCC1)c1ccccc1)C,-3.19
c1ccc(cc1)c1nnco1,-1.387
CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-4.458
Nc1ccc(cc1)C(=O)Nc1ncccc1C,-1.831
OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)F)C,-3.905
CCOP(=O)(Nc1ccccc1)OCC,-1.877
OC(=O)Cc1ccccc1Nc1c(Cl)cc(cc1Cl)O,-4.241
C=CCc1ccc(c(c1)OC)OCc1ccccc1,-5.102
C#CCNCC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O,-2.709
COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC,-3.71
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C,-2.82
CCCCN1C(=S)SCC1=O,-1.163
O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-3.915
CCCc1cc(Cl)ccc1OCC(CO)O,-3.576
ClCCN([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C)CCCl,-5.836
CCCCCCC(=O)c1ccc(cc1)N,-4.871
CCCC(COC(=O)N)(COC(=O)NCCCC)C,-3.203
CCC(=O)N1C2CCC1CN(C2)CCCc1ccccc1,-3.854
FCCN(C(=O)NC1CCSCC1)N=O,-2.138
O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2[C@H](O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-4.067
OC(=O)C(c1ccccc1)Oc1ccccc1,-3.0
OCC(COc1ccc(cc1)C)(O)C,-1.88
CN1CCN=C1Nc1ncc(s1)[N+](=O)[O-],-2.785
O[C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)COC(=O)C)C)C,-4.062
OCC(C(=O)N1C2CCC1CN(C2)C)(c1ccccc1)C1CCCCC1,-4.122
COC(C(C1OC(SCCOC(=O)c2ccccc2O)C(C(C1O)O)O)NC(=O)C1CCCN1C)C,-4.565
BrC1CC(C)(C)N(C(C1)(C)C)C,-2.43
COC(=O)[C@@]1(C)CC[C@]2([C@@H](C1)C1=CC(=O)[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,-8.942
C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,-2.76
CC(=O)Oc1cccc(c1)OC(=O)C,-2.213
O=C(Nc1c(C)cccc1C)OC1CCCN(C1)C(C)(C)C,-4.884
O=C(Nc1ccccc1)N[C@@H]1CCCC[C@H]1C,-4.11
NC(=O)NC1CCCCC1,-1.247
CC1CCCCN1CCCCCCOC(=O)c1ccccc1,-4.905
OC(=O)CCc1nc(c(o1)c1ccccc1)c1ccccc1,-4.523
N/C(=N\CC1CCCCCC1)/CSS(=O)(=O)O,-3.225
CCC1Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N,-2.883
CCOC(=O)c1cnc2n(c1=O)cc(cc2)C,-1.663
CCCCCOC(=O)c1ccco1,-3.02
O=C(Nc1cc(Cl)ccc1Sc1ccc(cc1)Cl)CCN1CCCCC1,-6.785
CN1CC[C@@]23[C@H]([C@H]1Cc1c3c(O)c(cc1)O)CCCC2,-2.106
CCOc1ncnc2c1[nH]cn2,-1.887
CCCBr,-1.73
CN1CCOC(c2c(C1)cccc2)c1ccccc1,-2.645
CC(=O)Oc1c[nH]c2c1cccc2,-2.196
Cc1cc(OCCCCCNCCSS(=O)(=O)O)nc2c1cccc2Cl,-4.24
O/N=C(/Cn1ccc2c1cccc2)\N,-1.444
Clc1ccc2c(c1)C(=NCc1n2cnn1)c1ccccc1,-5.295
CN1CCC2=C(C1CCc1cccc(c1)[N+](=O)[O-])CCCC2,-5.222
O=Cc1ccc2c(c1)cccc2,-2.909
CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,-3.39
CN(CC(=O)N1C(C)(C)CC(=CC1(C)C)c1ccccc1)C,-4.613
CCOC(=O)Cc1ccc(cc1)C(=O)N1CCC2CC1N(C)C2,-2.055
CC(CC1CCC(=CC1)C(C(=O)O)C)C,-4.608
COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@H]1N(C2)CCc2c1[nH]c1c2cc(c(c1)OC)OC)C,-2.803
N/C(=N\C1CCCC1)/CSS(=O)(=O)O,-1.66
CCN[P@](=S)(O/C(=C/C(=O)OC(C)C)/C)OC,-3.41
CN([C@@H]1C(=C(C(=O)NCN2CCCC2)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)cccc2O)O)O)C,-1.42
CC(C(COC(=O)N)(COC(=O)NC(C)C)C)C,-3.05
CC[C@H](C(=O)O[C@H]1[C@H](O)[C@H]2[C@H]([C@H]3[C@]1(O)[C@@H]1[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]4[C@]5([C@]1(C3)O[C@]4(O)[C@H](CC5)OC(=O)[C@](CC)(O)C)C)CN1[C@H]([C@@]2(C)O)CC[C@@H](C1)C)C,-5.538
COc1ccc2c(c1)c(C)cc(n2)OCCNCCSS(=O)(=O)O,-2.163
c1ccc2c(c1)non2,-1.522
Oc1cccc2c1nccc2,-2.42
CCN[C@H](Cc1cccc(c1)C(F)(F)F)C,-2.749
Oc1ccc2c(c1)CCCC2,-1.99
ClC[C@@H]1CN(C(=O)[C@@H]1Cl)c1cccc(c1)C(F)(F)F,-4.05
ClCCN([C@H]1C(OC(=O)C)O[C@@H]([C@H]([C@@H]1OC(=O)C)OC(=O)C)COC(=O)C)CCCl,-2.498
CCN(c1c(C)n(C)c(=O)n(c1=O)c1ccccc1)CC,-3.098
C/C=C/C[C@H]([C@H]([C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,-5.17
CC(=O)N1OCc2c(C1)cc(cc2)[N+](=O)[O-],-2.253
CCC(=O)OC1(CCN(C1C)C)c1ccccc1,-2.519
CCCCC[C@H]([C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O,-2.586
OS(=O)(=O)SCCNCCCCCOc1nc2ccccc2c(c1)C(F)(F)F,-4.187
OC(c1ccccc1)(C1CCCCC1)CCN1CCCCC1,-5.2
OC[C@H]1O[C@@H](O[C@H]2C[C@]3(C)[C@@H]([C@@]4([C@@H]2C(C)(C)[C@@H](O)CC4)C)C[C@H]([C@H]2[C@@]3(C)CC[C@@H]2[C@@](O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)O)[C@@H]([C@H]([C@@H]1O)O)O,-6.145
Clc1nc(Cl)cc(c1)C(=O)N1COCC1,-1.43
OS(=O)(=O)SCCNc1c2ccccc2nc2c1cccc2,-6.137
CC(=C)C(=O)OC(C)(C)C,-2.153
[O-][N+](=O)c1ccc(o1)/C=N/N1CC(OC1=O)CSC,-3.621
c1ccc(cc1)[Te]c1ccccc1,-4.464
N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,-4.018
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)nc2N,-2.393
Cl[C@@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]1(C([C@]2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,-6.86
COc1cc(OCCCN2CSCC2)nc2c1cccc2,-2.907
COc1cccc(c1)[C@@]1(O)CCCC[C@@H]1CN(C)C,-2.36
COc1ccc(cc1)CN1CCc2c(C1)cccc2NC(=O)c1ccc(c(c1)OC)OC,-5.371
N#Cc1ccc(cc1)F,-1.81
CCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)C[C@@H](C)C(=O)C2,-6.167
CC(=O)c1cc(O)c(c(c1)O)O,-1.471
CN1CCC2=C(C1CCc1ccc(cc1)Cl)CCCC2,-5.462
CN(Cc1ccc(cc1)[N+](=O)[O-])/N=N/c1ccc(cc1)C(=O)O,-5.324
CCN(C(=O)C1CCCNC1)CC,-1.212
Clc1ccc(c(c1Cl)O)Cl,-2.64
N/C(=N\CCCOc1ccccc1)/CSS(=O)(=O)O,-2.521
O=C(N1CC(=O)N2C(C1)c1ccccc1CC2)C1CCCCC1,-2.893
NC(c1ccccc1)Cc1ccccc1,-2.36
C#CC(c1ccccc1)(c1ccc(cc1)Cl)OC(=O)N,-5.572
O=c1[nH]c2ccccc2c(n1)c1ccccc1,-2.453
Cc1ccccc1,-2.21
NNC(Cc1ccc(c(c1)OC)OC)C,-1.62
Clc1ccc(cc1Cl)c1c(Cl)cc(c(c1Cl)Cl)Cl,-7.66
Nc1ccc(cc1)C(=O)Nc1cc(C)cc(n1)C,-2.881
CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1,-4.7
CN(CC(CN1c2ccccc2CCc2c1cccc2)C)C,-4.787
O=C[C@@]12CC[C@@H](C[C@@]2(O)CC[C@@H]2[C@@H]1CC[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O,-3.352
C/C(=C\c1ccccc1)/[N+](=O)[O-],-2.934
Oc1ccc2c(c1)cc(cc2)O,-2.219
Nc1ccc2c(c1)nc1c(c2)cc(cc1)N,-3.4
OC(=O)c1cc(Br)cnc1,-2.02
OC(=O)[C@H](Cc1cc(I)c(c(c1)I)Oc1ccc(c(c1)I)O)N,-5.216
O=C(C(C)(C)C)C1C(=O)c2c(C1=O)cccc2,-4.11
Cc1ccc2c(c1)n(C(C)C)c(=O)nc2c1ccccc1,-4.115
C=CCc1cc(Br)ccc1OCC(CO)O,-3.978
ClCCCn1cnc2c1c(=O)n(C)c(=O)n2C,-2.263
CC(CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C)C,-6.64
CN(C/C=C(\c1cccnc1)/c1ccc(cc1)Br)C,-3.219
Nc1oc2c(n1)cc(c(c2)Br)Cl,-3.528
Nc1ccc(cc1)C(=O)Nc1ccccn1,-1.743
COc1cc(cc(c1C(=O)OC(C)C)OC)Cc1cnc(nc1N)N,-3.195
CN1CCC2=C(C1CCc1ccc(cc1)[N+](=O)[O-])CCCC2,-5.222
OCCN(c1ccccc1)Cc1ccc2c(n1)cccc2,-3.582
COC(=O)C[C@@](C(=O)O[C@@H]1C(=C[C@]23[C@@H]1c1cc4OCOc4cc1CCN3CCC2)OC)(CCC(O)(C)C)O,-3.817
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,-4.52
COc1ccc2c(c1CN(C)C)oc(c(c2=O)C)c1ccc(cc1)F,-4.173
CCN1CCCC(C1)OC(=O)Nc1ccc(cc1)C,-3.366
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C(=O)c1ccc(cc1)F,-4.65
Cn1c(=O)n(CC=C)c(cc1=O)N,-1.48
CCC(C(c1ccccc1)(C(=O)N)CCN1CCOCC1)C,-3.236
CC(N1C(=O)c2ccccc2NS1(=O)=O)C,-2.68
ClCCN(CCCl)CCCl,-3.107
Brc1cccc(c1)Br,-3.54
C#C[C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-5.66
NNc1ccnc2c1ccc(c2)Cl,-1.971
O=C1C=C[C@](C=C1)(O)c1cc(O)ccc1O,-1.73
OC(=O)C[C@@H](C(=O)O)N,-1.395
CCC(=O)N1C2CCC1CN(C2)C/C=C/c1cccc(c1)Cl,-4.458
CCCNC(C(=O)Nc1ccccc1C)C,-2.61
CCCCCCCC(NCCSS(=O)(=O)O)CC,-2.796
CCCOC(C)C,-1.34
C/C=C\c1ccc2c(c1)OCO2,-3.262
O=C(NS(=O)(=O)C)CCC/C=C\C[C@H]1C(=O)C[C@H]([C@@H]1/C=C/[C@H](COc1ccccc1)O)O,-3.939
CCCC(COC(=O)N(C)C)(COC(=O)NCC)C,-3.605
COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC,-6.89
O[C@@H]1CC[C@]2([C@@H](C1)[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-4.067
CC(CCC(=O)C)C,-1.33
Cc1n(C)c(=O)n(c(=O)c1Br)c1ccccc1,-1.939
NC(=O)C1c2ccccc2CCc2c1cccc2,-4.638
Oc1ccc2c(c1)[C@@]13CCCC[C@@H]3[C@H](C2)N(CC1)C,-2.146
CCNc1nc(CC)nc(n1)OC,-2.914
ClCCN(c1cc(ccc1C)C(=O)N)CCCl,-3.729
CN1CC2CCC(C1)N2CCOC(=O)C1CCCC1c1ccccc1,-3.926
CCC(c1cccc2c1cccc2)(C(=O)N)CCN1CCCCC1,-5.103
Clc1ccc2c(c1)nco2,-2.34
CC(=O)Nc1c(=O)n(c2c1ssc2)C,-3.036
COc1cc(ccc1Nc1c2ccccc2nc2c1cccc2)NS(=O)(=O)C,-6.503
